Id_Transacao,Mes,Loja,Valor
13ccc1bb,Marco,Filial Nordeste,4701
9f7e7985,Junho,Filial Nordeste,4064
c57cea7b,Abril,Filial Nordeste,4235
4fe64ec8,Agosto,Matriz,3793
edc8ff39,Marco,Filial Nordeste,2514
c98d8a9e,Dezembro,Filial Nordeste,4088
3e6fba6b,Julho,Filial Nordeste,398
81d5969f,Dezembro,Matriz,4668
e28e0340,Janeiro,Filial Norte,4132
194d3bd8,Outubro,Filial Nordeste,3250
7b85ec78,Maio,Filial Sul,2089
9dd239b1,Dezembro,Filial Sul,1497
ec4ec1f7,Marco,Matriz,2216
2a84fc9e,Setembro,Matriz,4798
4e103bbe,Novembro,Matriz,905
f547f72c,Abril,Filial Nordeste,3185
75d97e07,Outubro,Matriz,1205
c3509568,Novembro,Filial Nordeste,906
c4f8dbe4,Marco,Matriz,3836
981dfa25,Julho,Filial Norte,4736
