Id_Transacao,Mes,Loja,Valor
c196c241,Novembro,Matriz,2035
aab3e4d0,Fevereiro,Filial Norte,661
dc7c0708,Novembro,Matriz,3666
9f56db0d,Outubro,Filial Nordeste,748
a6e7f5c1,Outubro,Matriz,4576
a9977125,Julho,Matriz,209
436036e1,Agosto,Matriz,103
e2d3cdb0,Outubro,Filial Nordeste,525
09dd227d,Maio,Matriz,785
bf40478f,Janeiro,Filial Nordeste,2192
a412760a,Janeiro,Filial Sul,4024
b79d53fd,Outubro,Filial Nordeste,318
2f676721,Outubro,Filial Norte,1495
cb09f582,Julho,Filial Nordeste,4693
0f400e87,Julho,Matriz,4075
16fd3de8,Novembro,Matriz,1165
b2b48a0d,Julho,Filial Sul,1869
4af9e32b,Novembro,Filial Nordeste,2219
4ef84cbb,Fevereiro,Filial Norte,1137
a174a01e,Marco,Filial Nordeste,2011
67a5f483,Maio,Matriz,2387
bb4dfad4,Maio,Filial Norte,1755
b654e84b,Janeiro,Filial Sul,3135
8936fbf7,Novembro,Filial Sul,2987
28dda2d8,Novembro,Filial Norte,4598
d84506f0,Maio,Filial Sul,3991
9457a255,Fevereiro,Filial Nordeste,4290
7eff4eb8,Junho,Matriz,2215
4e2f1600,Marco,Filial Nordeste,124
635d768a,Julho,Matriz,2371
4b54969f,Setembro,Filial Norte,2651
6917c186,Julho,Matriz,898
ae94057b,Outubro,Filial Norte,916
b874aa91,Marco,Matriz,1758
343e856d,Maio,Filial Nordeste,1310
d1ee0351,Novembro,Filial Nordeste,4419
df273520,Julho,Filial Sul,4556
719bee90,Fevereiro,Filial Sul,293
3a83b656,Fevereiro,Matriz,2013
bd54fbcc,Maio,Matriz,3581
4eab3275,Dezembro,Matriz,2563
e3a5df34,Outubro,Matriz,4611
932f027a,Setembro,Filial Sul,1043
61fb66e2,Marco,Filial Nordeste,3678
28bd698e,Setembro,Filial Norte,410
392a13cc,Dezembro,Matriz,1525
152bd933,Novembro,Matriz,2995
d0898857,Marco,Matriz,4102
d976829d,Junho,Matriz,4793
761df4f0,Abril,Matriz,1593
6eae3e06,Outubro,Filial Sul,3731
2192d2f9,Dezembro,Filial Nordeste,1476
eb2c4a1c,Outubro,Matriz,2010
3a03d48b,Outubro,Filial Norte,1654
4a1070c1,Fevereiro,Matriz,2447
e01da8bd,Dezembro,Filial Nordeste,241
c79cd59a,Fevereiro,Matriz,1172
e3668e72,Setembro,Filial Nordeste,1354
bf40580a,Setembro,Filial Sul,3777
ef8227c6,Setembro,Filial Norte,2943
20e8bf35,Maio,Matriz,228
84765ff4,Junho,Filial Norte,404
52a43b45,Agosto,Filial Nordeste,229
d3338885,Agosto,Filial Sul,3319
b9d398e0,Marco,Filial Nordeste,4792
0477d2b8,Agosto,Filial Norte,3235
56b11a6e,Junho,Filial Norte,3079
404330d0,Maio,Matriz,1708
55546240,Fevereiro,Filial Nordeste,4738
ef56e33f,Junho,Filial Sul,3877
25454679,Julho,Matriz,126
25eec90c,Julho,Filial Sul,2045
504d025c,Junho,Matriz,1986
61f7a9cb,Novembro,Filial Nordeste,1371
f6ee484e,Marco,Matriz,1659
87764204,Julho,Filial Norte,4573
eb87f232,Julho,Filial Norte,2515
2a8333ea,Abril,Matriz,2753
c2a6832f,Junho,Filial Sul,4309
d14a948a,Agosto,Filial Norte,4945
5445242f,Marco,Filial Sul,626
4479db70,Abril,Filial Sul,3410
bc1f80ff,Novembro,Filial Norte,4090
13257a44,Junho,Filial Nordeste,1421
52eea244,Dezembro,Filial Norte,4024
82aae858,Agosto,Matriz,4873
11c5effe,Outubro,Filial Norte,645
b3c0365e,Agosto,Filial Sul,420
f75eb405,Junho,Filial Nordeste,1687
4a15fb9b,Julho,Filial Sul,1170
49356961,Fevereiro,Filial Norte,4659
1feca4f8,Fevereiro,Filial Norte,1839
19149bb6,Janeiro,Filial Sul,2227
aec9422f,Janeiro,Filial Nordeste,881
6a0b5471,Janeiro,Matriz,1405
ac63a70e,Marco,Filial Sul,3185
aeecbae4,Janeiro,Filial Norte,1291
6f0d002f,Fevereiro,Filial Nordeste,3872
a35acf7d,Maio,Filial Sul,1331
10578e30,Novembro,Filial Sul,4209
92f295a6,Junho,Filial Norte,4630
b9cb2139,Janeiro,Filial Norte,4782
24c8f7d6,Junho,Matriz,1113
dfb50657,Outubro,Filial Sul,1585
c2e3655b,Setembro,Filial Nordeste,1679
7c2c9ef0,Janeiro,Filial Nordeste,2381
65155ffd,Agosto,Filial Norte,2730
e2ccf050,Dezembro,Filial Norte,4148
1230e4eb,Junho,Filial Nordeste,3034
39e0bc03,Outubro,Matriz,4899
5afee125,Dezembro,Filial Norte,1443
20efbdd0,Janeiro,Filial Nordeste,2216
7a06c508,Marco,Matriz,2696
63b723f8,Dezembro,Filial Nordeste,1159
aab9ac12,Janeiro,Filial Norte,1069
e51cdcff,Abril,Filial Nordeste,1798
eca982fd,Agosto,Filial Norte,1910
b0ed005f,Dezembro,Filial Norte,1527
e92d077d,Setembro,Filial Norte,4103
8852718b,Junho,Filial Sul,3671
9173d6cf,Marco,Filial Nordeste,1706
e0951d5c,Setembro,Filial Nordeste,1699
c78a9b40,Fevereiro,Filial Norte,3241
5e576053,Novembro,Filial Norte,2166
37759ca0,Marco,Filial Nordeste,4028
deedf89d,Maio,Filial Nordeste,848
d9994707,Abril,Filial Sul,3378
17f898c5,Dezembro,Matriz,3358
2db0ff43,Junho,Matriz,865
eb10fa4b,Julho,Filial Sul,4356
ddd33f11,Agosto,Filial Norte,3613
00264019,Fevereiro,Filial Norte,4687
7e2fc37c,Setembro,Filial Norte,1261
0a4b91d8,Marco,Filial Nordeste,4669
8f625667,Novembro,Filial Norte,4383
e752ef17,Novembro,Filial Nordeste,1550
b72f371c,Julho,Filial Nordeste,3111
d7e7e8bd,Fevereiro,Filial Norte,4144
1db93d81,Agosto,Filial Sul,1454
f4db9ad5,Dezembro,Filial Sul,1348
86d7a817,Agosto,Matriz,2769
f5ad40f3,Outubro,Filial Norte,2811
82468ed7,Outubro,Matriz,243
236e1d35,Fevereiro,Filial Norte,1168
af6f1445,Setembro,Filial Sul,3787
99208ba4,Abril,Matriz,1522
c987198c,Setembro,Filial Norte,474
f10ecf16,Janeiro,Filial Norte,1254
ccd2b19e,Setembro,Matriz,2884
118cc663,Outubro,Filial Norte,1948
8568f0e8,Marco,Filial Norte,1105
0e68415e,Maio,Filial Norte,2960
1f34da3b,Marco,Filial Nordeste,1514
3a227e47,Maio,Filial Nordeste,1071
2135f4b3,Setembro,Filial Nordeste,4013
6616b09b,Dezembro,Filial Nordeste,3990
ed91c4cf,Outubro,Filial Sul,631
5ff6d42b,Novembro,Filial Norte,4886
e210ddc9,Abril,Filial Sul,3007
561badf6,Janeiro,Matriz,4350
ed8cd033,Marco,Filial Norte,3217
fa61476b,Abril,Matriz,536
2f3854d8,Marco,Filial Norte,327
4a0e56ce,Julho,Filial Sul,210
77a429f9,Marco,Filial Sul,3652
2473cbaf,Novembro,Filial Nordeste,4869
bf3ae1fa,Outubro,Matriz,1987
ae4a74a4,Janeiro,Filial Norte,2461
1893aa33,Agosto,Filial Sul,1941
80cdf971,Dezembro,Filial Norte,2109
adea7d8f,Abril,Filial Norte,683
a97a0069,Fevereiro,Matriz,1457
95426163,Marco,Filial Sul,4469
3f9cd70e,Fevereiro,Filial Norte,1596
5250e391,Maio,Filial Nordeste,1073
51838ab9,Outubro,Matriz,2000
ede6b5e1,Dezembro,Matriz,1602
3a7f3553,Maio,Filial Norte,200
c986454b,Junho,Filial Sul,4204
48bef0e4,Outubro,Filial Nordeste,3571
731ff377,Agosto,Filial Norte,1039
48f05336,Maio,Filial Norte,1640
0ba4a1de,Fevereiro,Matriz,818
32353c01,Junho,Filial Nordeste,3166
843e9838,Maio,Filial Norte,4311
6a0030ab,Abril,Filial Nordeste,1883
db3e11fd,Outubro,Matriz,4669
2b8d6834,Maio,Matriz,3408
19d2aeb5,Outubro,Matriz,732
8ffaadc8,Setembro,Filial Norte,1164
a1822e59,Julho,Filial Nordeste,2785
56313eef,Dezembro,Filial Norte,4934
df5304ad,Marco,Filial Norte,1335
0102221b,Outubro,Filial Sul,2994
ae11d52b,Junho,Filial Sul,2846
9c68daff,Novembro,Matriz,3679
f979b8a1,Dezembro,Filial Nordeste,2577
4c83f7d6,Abril,Filial Norte,2205
3fcc7228,Novembro,Matriz,2492
649c8aa1,Julho,Filial Norte,4944
02ebd0aa,Julho,Filial Sul,4492
f52ea790,Fevereiro,Filial Sul,4279
968fc7f1,Junho,Filial Norte,4392
94ccebfb,Fevereiro,Filial Sul,913
6c3d994b,Outubro,Filial Sul,100
7b5dd419,Dezembro,Filial Sul,3647
c1946d72,Setembro,Filial Sul,4359
86a17d74,Janeiro,Filial Nordeste,3952
887423b3,Fevereiro,Filial Sul,1780
d0eea15b,Novembro,Filial Nordeste,184
321fd792,Fevereiro,Matriz,2654
a8b7558e,Novembro,Filial Sul,3332
92f94021,Outubro,Filial Norte,1339
7004e912,Marco,Matriz,2012
7c74dc02,Janeiro,Filial Norte,3401
8f161fc0,Novembro,Filial Nordeste,4894
9bdb9297,Maio,Filial Nordeste,4406
e90714db,Outubro,Filial Nordeste,4076
56f3d525,Dezembro,Matriz,3720
cd9657fa,Novembro,Filial Sul,4183
5bec4bbd,Novembro,Filial Nordeste,4630
2c84aadf,Marco,Filial Nordeste,635
