Id_Transacao,Mes,Loja,Valor
1ffeaaca,Junho,Filial Sul,3513
43589572,Agosto,Filial Sul,1608
62228fcd,Outubro,Filial Nordeste,416
4cf69d74,Fevereiro,Filial Norte,2340
28db4040,Janeiro,Filial Sul,396
17efa737,Fevereiro,Matriz,1560
be36041d,Setembro,Filial Norte,828
983bec66,Julho,Matriz,3251
a56085e1,Janeiro,Filial Nordeste,3971
1396c7cb,Novembro,Matriz,666
1c67e2c8,Setembro,Filial Nordeste,3870
2f6abb6a,Abril,Filial Sul,1732
c357afad,Junho,Filial Nordeste,970
b78d69ac,Junho,Filial Norte,316
94551346,Novembro,Filial Sul,3137
ae35db13,Setembro,Filial Sul,2589
5a7a6990,Marco,Filial Nordeste,282
b864926f,Dezembro,Filial Sul,163
c2d5ecd6,Julho,Filial Nordeste,4327
b4db135d,Dezembro,Matriz,1006
2acbb5ae,Outubro,Filial Norte,1776
e9afd178,Marco,Filial Nordeste,2868
1cecd97f,Abril,Filial Norte,2023
4cc6e1c6,Novembro,Filial Nordeste,3589
60bc8c47,Abril,Filial Nordeste,4441
110b26ee,Outubro,Filial Norte,2796
4e910153,Outubro,Filial Nordeste,154
0d9b47e1,Outubro,Filial Norte,1596
54721661,Dezembro,Matriz,1876
873d1a7f,Janeiro,Matriz,4578
41326470,Marco,Filial Nordeste,3329
6a5fe582,Novembro,Filial Norte,2809
89e7d99e,Setembro,Matriz,1808
eae01553,Junho,Filial Sul,2170
15f3dc0f,Agosto,Filial Nordeste,3687
4479a56b,Marco,Matriz,2219
5b263ed0,Fevereiro,Matriz,4472
26163623,Maio,Filial Nordeste,2593
e29ea724,Agosto,Filial Nordeste,678
51135f5a,Novembro,Filial Nordeste,4941
fb5f8ca9,Dezembro,Matriz,4398
627533b7,Setembro,Matriz,1815
b377120d,Junho,Filial Sul,2655
c1c0ae01,Outubro,Filial Norte,855
b331a18a,Setembro,Filial Norte,4369
f068008e,Junho,Filial Nordeste,2551
842b410a,Fevereiro,Filial Nordeste,1617
94e12868,Maio,Matriz,1823
ede7cb62,Outubro,Matriz,4284
400934e9,Janeiro,Matriz,454
050e54c5,Dezembro,Filial Norte,911
3e63e295,Maio,Filial Sul,914
b4b57749,Julho,Filial Nordeste,2308
47e09363,Marco,Filial Nordeste,4938
62947a9f,Outubro,Filial Sul,1799
25a5839c,Janeiro,Filial Sul,2999
e2df1dbb,Dezembro,Matriz,2365
a1d6e42c,Fevereiro,Filial Sul,1774
c38663aa,Setembro,Matriz,1974
d4390c32,Setembro,Filial Nordeste,1196
a36a28f8,Agosto,Filial Nordeste,406
b744318a,Marco,Matriz,3436
f9140a29,Setembro,Filial Nordeste,2468
53d4b27b,Fevereiro,Filial Sul,2468
1d6a3d50,Marco,Matriz,2639
1ade9d91,Setembro,Filial Norte,1826
51074afa,Marco,Filial Nordeste,2616
80f11e4c,Maio,Filial Sul,1563
373a1350,Fevereiro,Matriz,2114
a3d25878,Maio,Filial Norte,2873
089a92e9,Junho,Filial Sul,187
7d128435,Novembro,Matriz,1515
6c90a44e,Abril,Filial Norte,2414
5abe7d64,Novembro,Filial Norte,3072
6d55db47,Agosto,Filial Norte,4231
8f95cc01,Novembro,Filial Sul,3733
f5605ba2,Dezembro,Filial Nordeste,1756
3b123dea,Outubro,Matriz,3407
a2856abf,Outubro,Filial Nordeste,2945
5f5daf16,Janeiro,Filial Sul,4999
6030aa30,Junho,Filial Norte,4301
6ff1f9e3,Setembro,Filial Nordeste,4775
ff959146,Abril,Matriz,4611
d87b380a,Julho,Filial Sul,641
b63f331f,Junho,Matriz,2798
3ba5b72e,Dezembro,Filial Nordeste,4048
5075c413,Maio,Matriz,1063
79dc2330,Agosto,Filial Norte,4595
db62811e,Dezembro,Filial Sul,4377
7393caf6,Novembro,Matriz,4516
eecf962d,Outubro,Filial Nordeste,2387
36c22317,Fevereiro,Filial Nordeste,2941
08089d59,Novembro,Filial Nordeste,226
5b773225,Abril,Matriz,1955
57ada454,Maio,Filial Norte,3933
d0394057,Dezembro,Filial Sul,918
ebb965bb,Marco,Matriz,3366
ca4bb086,Janeiro,Matriz,2341
0a80f717,Maio,Matriz,829
118d9dea,Fevereiro,Matriz,2593
a12e563f,Maio,Filial Norte,1749
ae0ae2ab,Dezembro,Filial Norte,1201
fcd0815e,Novembro,Filial Nordeste,4777
d0db6fcf,Janeiro,Filial Nordeste,1477
cfde74b1,Julho,Filial Nordeste,2130
38d2724b,Junho,Filial Norte,3933
