Id_Transacao,Mes,Loja,Valor
9c0b245f,Marco,Filial Sul,3535
666d980f,Novembro,Filial Sul,4181
af719b85,Junho,Matriz,3249
cc2a7a7e,Abril,Filial Nordeste,2565
ae27da3f,Setembro,Filial Nordeste,322
3621e0b3,Janeiro,Matriz,4020
82532492,Julho,Filial Sul,2539
42753293,Janeiro,Filial Sul,4051
f3705073,Julho,Matriz,2106
2772c243,Janeiro,Filial Norte,840
954d8068,Fevereiro,Filial Sul,4295
b6fa7234,Julho,Filial Norte,4309
1a0d3463,Outubro,Filial Nordeste,3628
bc4949e2,Outubro,Filial Sul,111
8cc0396e,Janeiro,Matriz,3402
e66b36a7,Maio,Filial Sul,4309
b542c0c4,Dezembro,Matriz,3441
2345befe,Fevereiro,Filial Sul,2240
58510930,Fevereiro,Filial Norte,2028
6e2446f9,Outubro,Matriz,3452
a64f7529,Outubro,Filial Sul,4813
676454b1,Setembro,Filial Norte,1323
9d6571ab,Marco,Matriz,1583
d87cf606,Abril,Matriz,2032
cc62e7db,Agosto,Matriz,951
798ee79b,Dezembro,Filial Norte,1990
d8fcd071,Julho,Filial Sul,3898
bc42b72b,Novembro,Matriz,4593
85270766,Janeiro,Filial Norte,4293
55c80c41,Junho,Filial Norte,3720
9115973d,Marco,Matriz,721
934f0736,Marco,Filial Sul,2633
5ca86dfc,Janeiro,Matriz,2700
197107c9,Junho,Filial Norte,4341
24643098,Abril,Matriz,1644
7a560ee9,Novembro,Filial Norte,2058
d00e60fc,Junho,Filial Norte,1470
4584eca7,Abril,Filial Norte,420
5d228632,Fevereiro,Filial Sul,4110
ac777e62,Outubro,Matriz,101
d9b45b06,Marco,Filial Sul,3123
0cbdc2b1,Setembro,Filial Norte,3982
7a8fe0be,Julho,Filial Norte,178
afc6668f,Julho,Filial Norte,401
e27592e4,Marco,Filial Sul,4843
e006c91a,Janeiro,Matriz,699
8f6a0d84,Abril,Matriz,1228
1ebe4229,Agosto,Filial Sul,4465
8f97e230,Fevereiro,Matriz,4326
8e159e73,Maio,Filial Norte,614
a774756b,Novembro,Filial Sul,3273
b79c8e7e,Outubro,Matriz,2359
2d9608df,Novembro,Matriz,1534
f792d21a,Janeiro,Filial Norte,3524
d3974a66,Julho,Matriz,1085
a1f48b75,Fevereiro,Filial Nordeste,3395
665abbc2,Janeiro,Filial Norte,651
3e73fbc9,Agosto,Filial Nordeste,1108
3a84a37e,Marco,Filial Norte,3364
a4142742,Marco,Matriz,511
de2646a8,Abril,Filial Norte,908
c1601e68,Dezembro,Filial Nordeste,3619
12657ac4,Julho,Filial Sul,3135
046b07e6,Outubro,Matriz,3150
41ccf940,Novembro,Matriz,4707
bc0c772e,Agosto,Matriz,308
ea726c99,Janeiro,Matriz,1266
c3f4e868,Fevereiro,Filial Norte,4381
e69630df,Fevereiro,Matriz,3399
2afc190c,Fevereiro,Matriz,644
bfb6d1fa,Novembro,Filial Nordeste,346
c63b66d3,Marco,Matriz,668
2b69ec10,Junho,Filial Sul,1100
34481c5e,Fevereiro,Matriz,3408
92653360,Janeiro,Filial Norte,1638
eca3a4f2,Abril,Filial Nordeste,3851
0c55e851,Setembro,Filial Sul,4977
5bcbf542,Abril,Matriz,2710
63bbe53c,Abril,Filial Sul,2733
a57d7ee4,Outubro,Matriz,2124
a7b56efa,Dezembro,Filial Sul,1739
72e7bc18,Dezembro,Matriz,1987
d164101d,Marco,Filial Nordeste,3731
6a839e04,Setembro,Filial Norte,2712
c66f32bd,Fevereiro,Filial Sul,3247
cc014a04,Junho,Filial Nordeste,3349
016769ad,Marco,Filial Nordeste,532
dee2a6b6,Junho,Filial Sul,532
ef2f9aef,Janeiro,Filial Nordeste,1451
55b553c7,Junho,Filial Nordeste,655
98f5cc39,Julho,Filial Sul,2564
6e3f3b7c,Junho,Filial Nordeste,4847
ffbe58b8,Marco,Filial Nordeste,707
1bba74a3,Novembro,Filial Sul,302
168afa4c,Outubro,Filial Sul,124
426d4c5c,Outubro,Filial Nordeste,524
6d1ca525,Dezembro,Filial Sul,3831
4dc96575,Julho,Filial Norte,2327
a54bad8d,Julho,Matriz,4604
edcff026,Dezembro,Filial Nordeste,854
bb41aa0d,Janeiro,Filial Nordeste,1378
6976648c,Maio,Filial Norte,1340
1e3d7f46,Agosto,Matriz,2517
8a906bfa,Fevereiro,Filial Norte,3245
2947fbc3,Janeiro,Filial Nordeste,3323
bb8f3acd,Janeiro,Matriz,741
9732bd4e,Marco,Filial Norte,486
8ad2008f,Marco,Filial Nordeste,1558
e3c9d951,Dezembro,Filial Nordeste,2131
d77b35dd,Setembro,Filial Nordeste,1789
9fc96212,Fevereiro,Matriz,2301
d992c102,Maio,Matriz,2247
aaf9a2d1,Maio,Filial Nordeste,1028
c0128321,Novembro,Filial Norte,2957
5a346667,Fevereiro,Filial Norte,2541
e0e2cead,Outubro,Filial Sul,3970
dc2dd92a,Abril,Matriz,2934
2df7795e,Junho,Filial Nordeste,1292
485655ad,Outubro,Matriz,623
593211a2,Agosto,Filial Sul,2985
3d6adc9a,Maio,Matriz,4769
dfa2e985,Outubro,Matriz,3858
328ce9e9,Setembro,Matriz,2161
0a478ea5,Abril,Matriz,1213
607d249b,Novembro,Filial Norte,1149
c2879295,Junho,Filial Sul,3169
35fc8935,Dezembro,Filial Norte,249
6f53579d,Marco,Matriz,2631
f629562b,Dezembro,Matriz,2438
a4131332,Fevereiro,Filial Nordeste,3501
0bd6597c,Julho,Matriz,3501
4268ba57,Maio,Filial Nordeste,1743
98e8cba6,Agosto,Filial Sul,4086
416c4092,Julho,Filial Norte,1337
b3503151,Dezembro,Filial Norte,3158
041e3a35,Marco,Filial Sul,4665
647ff49d,Fevereiro,Filial Norte,2000
863cdabb,Marco,Filial Sul,4758
b26124ee,Junho,Matriz,3539
9f37a90b,Outubro,Matriz,3754
f8d849a2,Junho,Filial Nordeste,1522
a50aef17,Setembro,Filial Norte,1109
d4fc87f1,Maio,Filial Sul,1209
22174310,Janeiro,Filial Norte,252
51953417,Janeiro,Filial Sul,1946
8dae3033,Janeiro,Filial Norte,4335
c28a455e,Abril,Filial Nordeste,2846
02acfb53,Fevereiro,Filial Norte,961
7fb3b45e,Maio,Filial Nordeste,3526
3addc0e8,Setembro,Filial Sul,2482
72918785,Junho,Filial Norte,4704
f2d124f7,Fevereiro,Filial Sul,3982
e167910b,Julho,Matriz,2060
d9a0f144,Julho,Filial Norte,3531
4377c6be,Setembro,Filial Sul,584
a4ddfcb9,Julho,Filial Norte,4770
98cbabae,Abril,Matriz,2903
b2fcf50d,Fevereiro,Filial Sul,350
d826fc75,Setembro,Filial Nordeste,2258
09e5ad1c,Maio,Matriz,3336
